Dystans (m),WysokoϾ (m)
8993.674096296732,1181.3779296875
9049.535426087394,1159.76904296875
9105.396755878057,1143.32373046875
9161.25808566872,1125.22705078125
9217.119415459383,1110.15869140625
9272.980745250046,1096.596923828125
9328.84207504071,1079.970092773438
9384.703404831373,1054.919311523438
9440.564734622036,1030.088989257812
9496.426064412697,1000.949096679688
9552.28739420336,969.6610107421875
9608.148723994023,947.2388305664062
9664.010053784687,934.881591796875
9719.87138357535,927.050537109375
9775.732713366013,922.5577392578125
9831.594043156676,914.0476684570312
9887.45537294734,906.05859375
9943.316702738,899.9724731445312
9999.178032528664,899.374755859375
10055.039362319327,899
10110.90069210999,899
10166.762021900653,899
10222.623351691316,899
10278.48468148198,898.2269897460938
10334.346011272642,898
10390.207341063304,898
10446.068670853967,898
10501.93000064463,898
10557.791330435293,898
10613.652660225956,897.6134033203125
10669.51399001662,897.0912475585938
10725.375319807283,896.569091796875
10781.236649597946,896.0469970703125
10837.097979388609,895.5248413085938
10892.95930917927,895.002685546875
10948.820638969933,894.4805908203125
11004.681968760597,894
11060.54329855126,894
11116.404628341923,893.9142456054688
11172.265958132586,893.3921508789062
11228.12728792325,892.8236694335938
11283.988617713912,891.6605224609375
11339.849947504574,890.8258056640625
11395.711277295237,890.3037109375
11451.5726070859,889.7816162109375
11507.433936876563,889.1785888671875
11563.295266667226,887.91162109375
11619.15659645789,887.2153930664062
11675.017926248553,886.9031982421875
11730.879256039216,886.1712036132812
11786.740585829877,885.649169921875
11842.60191562054,884.57666015625
11898.463245411203,883.88330078125
11954.324575201867,883.0426025390625
12010.18590499253,881.7755737304688
12066.047234783193,880.508544921875
12121.908564573856,880.4832153320312
12177.76989436452,881.0361328125
12233.63122415518,883.3472290039062
12289.492553945844,885.6332397460938
12345.353883736507,887.3981323242188
12401.21521352717,889.3741455078125
12457.076543317833,892.2073364257812
12512.937873108496,895.04052734375
12568.79920289916,897.7183227539062
12624.660532689823,903.5316772460938
12680.521862480486,917.3953247070312
12736.383192271147,935.6608276367188
12792.24452206181,958.2733154296875
12848.105851852473,979.8273315429688
12903.967181643136,998.997802734375
12959.8285114338,1011.912353515625
13015.689841224463,1021.738708496094
13071.551171015126,1029.516967773438
13127.412500805789,1036.045288085938
13183.27383059645,1048.6455078125
13239.135160387114,1067.902954101562
13294.996490177777,1095.035522460938
13350.85781996844,1122.490966796875
13406.719149759103,1147.951904296875
13462.580479549766,1171.347900390625
13518.44180934043,1193.5693359375
13574.303139131092,1212.92236328125
13630.164468921754,1228.018310546875
13686.025798712417,1243.386108398438
13741.88712850308,1262.055908203125
13797.748458293743,1283.501831054688
13853.609788084406,1299.11865234375
13909.47111787507,1313.228637695312
13965.332447665733,1329.049072265625
14021.193777456396,1344.296264648438
14077.055107247057,1358.707397460938
14132.91643703772,1372.40185546875
14188.777766828383,1385.47705078125
14244.639096619047,1398.438598632812
14300.50042640971,1412.873168945312
14356.361756200373,1428.8984375
14412.223085991036,1444.675048828125
14468.0844157817,1457.378051757812
14523.945745572362,1466.723876953125
14579.807075363024,1469.121948242188
14635.668405153687,1470.142700195312
14691.52973494435,1465.990356445312
14747.391064735013,1460.379150390625
14803.252394525676,1454.63037109375
14859.11372431634,1456.861206054688
14914.975054107003,1460.520629882812
14970.836383897666,1460.605712890625
15026.697713688327,1466.794311523438
15082.55904347899,1462.1455078125
15138.420373269653,1471.867919921875
15194.281703060316,1493.039428710938
